STEPBible_elsodleges	STEPBible_masodlagos	Státusz	Indoklás	Strong-szám	Ragozott alak	Kiejtés	Szótő	Rövid jelentés	Angol tükörfordítás
Job.41.1	Job.40.25	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H4900	תִּמְשֹׁ֣ךְ	tim.Shokh	מָשַׁךְ	to draw	will you draw out?
Job.41.1	Job.40.25	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H3882	לִוְיָתָ֣ן	liv.ya.Tan	לִוְיָתָן	Leviathan	Leviathan
Job.41.1	Job.40.25	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H9003	בְּ	be.	ב	in	with
Job.41.1	Job.40.25	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H2443	חַכָּ֑ה	cha.Kah	חַכָּה	hook	a fish hook
Job.41.1	Job.40.25	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H9002	וּ֝	u.	ו	and	and
Job.41.1	Job.40.25	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H9003	בְ	ve.	ב	in	with
Job.41.1	Job.40.25	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H2256	חֶ֗בֶל	Che.vel	חֶ֫בֶל	cord	a cord
Job.41.1	Job.40.25	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H8257	תַּשְׁקִ֥יעַ	tash.Ki.a'	שָׁקַע	to sink	will you hold down?
Job.41.1	Job.40.25	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H3956	לְשֹׁנֽ	le.sho.N	לָשׁוֹן	tongue	tongue
Job.41.1	Job.40.25	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H9023	וֹ	o	Ps3m	his	its
Job.41.2	Job.40.26	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H9008	הֲ	ha.	ה	¿	¿
Job.41.2	Job.40.26	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H7760	תָשִׂ֣ים	ta.Sim	שׂוּם	to set	will you put
Job.41.2	Job.40.26	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H0100	אַגְמ֣וֹן	'ag.Mon	אַגְמֹן	bulrush	a cord
Job.41.2	Job.40.26	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H9003	בְּ	be.	ב	in	in
Job.41.2	Job.40.26	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H0639	אַפּ֑	'a.P	אַף	face	nose
Job.41.2	Job.40.26	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H9023	וֹ	o	Ps3m	his	its
Job.41.2	Job.40.26	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H9002	וּ֝	u.	ו	and	and
Job.41.2	Job.40.26	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H9003	בְ	ve.	ב	in	with
Job.41.2	Job.40.26	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H2336	ח֗וֹחַ	Cho.ach	חוֹחַ	thistle	a hook
Job.41.2	Job.40.26	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H5344	תִּקּ֥וֹב	ti.Kov	נָקַב	to pierce	will you pierce?
Job.41.2	Job.40.26	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H3895	לֶֽחֱי	le.che.y	לְחִי	jaw	jaw
Job.41.2	Job.40.26	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H9023	וֹ	o	Ps3m	his	its
Job.41.3	Job.40.27	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H9008	הֲ	ha.	ה	¿	¿
Job.41.3	Job.40.27	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H7235	יַרְבֶּ֣ה	yar.Beh	רָבָה	to multiply	will it multiply
Job.41.3	Job.40.27	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H0413	אֵ֭לֶי	'E.lei.	אֶל	to(wards)	to
Job.41.3	Job.40.27	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H9031	ךָ	kha	Os2m	you	you
Job.41.3	Job.40.27	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H8469	תַּחֲנוּנִ֑ים	ta.cha.nu.Nim	תַּחֲנוּן	supplication	supplications
Job.41.3	Job.40.27	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H0518	אִם	'im-	אִם	if	or?
Job.41.3	Job.40.27	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H1696	יְדַבֵּ֖ר	ye.da.Ber	דָבַר	to speak	will it speak
Job.41.3	Job.40.27	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H0413	אֵלֶ֣י	'e.Lei.	אֶל	to(wards)	to
Job.41.3	Job.40.27	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H9031	ךָ	kha	Os2m	you	you
Job.41.3	Job.40.27	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H7390	רַכּֽוֹת	ra.Kot	רַךְ	tender	soft [words]
Job.41.4	Job.40.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H9008	הֲ	ha.	ה	¿	¿
Job.41.4	Job.40.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H3772	יִכְרֹ֣ת	yikh.Rot	כָּרַת	to cut	will it make
Job.41.4	Job.40.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H1285	בְּרִ֣ית	be.Rit	בְּרִית	covenant	a covenant
Job.41.4	Job.40.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H5973	עִמָּ֑	'i.Ma	עִם	with	with
Job.41.4	Job.40.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H9032	ךְ	kh	Os2f	you	you
Job.41.4	Job.40.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H3947	תִּ֝קָּחֶ֗	ti.ka.Che.	לָקַח	to take	will you take?
Job.41.4	Job.40.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H9033	נּוּ	nu	Os3m	him	it
Job.41.4	Job.40.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H9005	לְ	le.	ל	to	to
Job.41.4	Job.40.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H5650	עֶ֣בֶד	'E.ved	עֶ֫בֶד	servant;_slave	a slave of
Job.41.4	Job.40.28	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H5769	עוֹלָֽם	o.Lam	עוֹלָם	forever	perpetuity
Job.41.5	Job.40.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H9008	הַֽ	ha	ה	¿	¿
Job.41.5	Job.40.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H7832	תְשַׂחֶק	t.sa.chek-	שָׂחַק	to laugh	will you play
Job.41.5	Job.40.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H9003	בּ֭	b	ב	in	with
Job.41.5	Job.40.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H9033	וֹ	o	Os3m	him	it
Job.41.5	Job.40.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H9004	כַּ	ka.	כ	like	like <the>
Job.41.5	Job.40.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H6833	צִּפּ֑וֹר	tzi.Por	צִפּוֹר	bird	bird
Job.41.5	Job.40.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H9002	וְ֝	ve.	ו	and	and
Job.41.5	Job.40.29	ADATMINOSEGI_GYANU	lasd DONTES_FELULBIRALAS a generalo szkriptben (Job fejezet 41)	H7194	תִקְשְׁרֶ֗	tik.she.Re.	קָשַׁר	to conspire	will you bind?
