lxx_fajl	igehely_lxx	igehely_karoli
1-kings	1 Kings 6:1	1Kir 6:1
1-kings	1 Kings 6:2	1Kir 6:2
1-kings	1 Kings 6:3	1Kir 6:3
1-kings	1 Kings 6:4	1Kir 6:4
1-kings	1 Kings 6:5	1Kir 6:5
1-kings	1 Kings 6:6	1Kir 6:6
1-kings	1 Kings 6:7	1Kir 6:7
1-kings	1 Kings 6:8	1Kir 6:8
1-kings	1 Kings 6:9	1Kir 6:9
1-kings	1 Kings 6:10	1Kir 6:10
1-kings	1 Kings 6:15	1Kir 6:15
1-kings	1 Kings 6:16	1Kir 6:16
1-kings	1 Kings 6:17	1Kir 6:17
1-kings	1 Kings 6:19	1Kir 6:19
1-kings	1 Kings 6:20	1Kir 6:20
1-kings	1 Kings 6:21	1Kir 6:21
1-kings	1 Kings 6:22	1Kir 6:22
1-kings	1 Kings 6:23	1Kir 6:23
1-kings	1 Kings 6:24	1Kir 6:24
1-kings	1 Kings 6:25	1Kir 6:25
1-kings	1 Kings 6:26	1Kir 6:26
1-kings	1 Kings 6:27	1Kir 6:27
1-kings	1 Kings 6:28	1Kir 6:28
1-kings	1 Kings 6:29	1Kir 6:29
1-kings	1 Kings 6:30	1Kir 6:30
1-kings	1 Kings 6:31	1Kir 6:31
1-kings	1 Kings 6:32	1Kir 6:32
1-kings	1 Kings 6:33	1Kir 6:33
1-kings	1 Kings 6:34	1Kir 6:34
1-kings	1 Kings 6:35	1Kir 6:35
1-kings	1 Kings 6:36	1Kir 6:36
1-kings	1 Kings 22:1	1Kir 22:1
1-kings	1 Kings 22:2	1Kir 22:2
1-kings	1 Kings 22:3	1Kir 22:3
1-kings	1 Kings 22:4	1Kir 22:4
1-kings	1 Kings 22:5	1Kir 22:5
1-kings	1 Kings 22:6	1Kir 22:6
1-kings	1 Kings 22:7	1Kir 22:7
1-kings	1 Kings 22:8	1Kir 22:8
1-kings	1 Kings 22:9	1Kir 22:9
1-kings	1 Kings 22:10	1Kir 22:10
1-kings	1 Kings 22:11	1Kir 22:11
1-kings	1 Kings 22:12	1Kir 22:12
1-kings	1 Kings 22:13	1Kir 22:13
1-kings	1 Kings 22:14	1Kir 22:14
1-kings	1 Kings 22:15	1Kir 22:15
1-kings	1 Kings 22:16	1Kir 22:16
1-kings	1 Kings 22:17	1Kir 22:17
1-kings	1 Kings 22:18	1Kir 22:18
1-kings	1 Kings 22:19	1Kir 22:19
1-kings	1 Kings 22:20	1Kir 22:20
1-kings	1 Kings 22:21	1Kir 22:21
1-kings	1 Kings 22:22	1Kir 22:22
1-kings	1 Kings 22:23	1Kir 22:23
1-kings	1 Kings 22:24	1Kir 22:24
1-kings	1 Kings 22:25	1Kir 22:25
1-kings	1 Kings 22:26	1Kir 22:26
1-kings	1 Kings 22:27	1Kir 22:27
1-kings	1 Kings 22:28	1Kir 22:28
1-kings	1 Kings 22:29	1Kir 22:29
1-kings	1 Kings 22:30	1Kir 22:30
1-kings	1 Kings 22:31	1Kir 22:31
1-kings	1 Kings 22:32	1Kir 22:32
1-kings	1 Kings 22:33	1Kir 22:33
1-kings	1 Kings 22:34	1Kir 22:34
1-kings	1 Kings 22:35	1Kir 22:35
1-kings	1 Kings 22:36	1Kir 22:36
1-kings	1 Kings 22:37	1Kir 22:37
